
2024/02/12 (17:32:52) | ===> btop++ v.1.3.0
2024/02/12 (17:32:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/12 (19:15:59) | ===> btop++ v.1.3.0
2024/02/12 (19:15:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/12 (22:46:34) | ===> btop++ v.1.3.0
2024/02/12 (22:46:34) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/02/17 (03:52:09) | ===> btop++ v.1.3.0
2024/02/17 (03:52:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/17 (03:55:33) | ===> btop++ v.1.3.0
2024/02/17 (03:55:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/17 (04:02:54) | ===> btop++ v.1.3.0
2024/02/17 (04:02:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/17 (04:40:39) | ===> btop++ v.1.3.0
2024/02/17 (04:40:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/17 (04:46:11) | ===> btop++ v.1.3.0
2024/02/17 (04:46:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/17 (04:47:21) | ===> btop++ v.1.3.0
2024/02/17 (04:47:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/17 (04:49:36) | ===> btop++ v.1.3.0
2024/02/17 (04:49:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/17 (04:56:57) | ===> btop++ v.1.3.0
2024/02/17 (04:56:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (00:20:26) | ===> btop++ v.1.3.2
2024/02/20 (00:20:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (00:23:28) | ===> btop++ v.1.3.2
2024/02/20 (00:23:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (00:25:35) | ===> btop++ v.1.3.2
2024/02/20 (00:25:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (00:27:30) | ===> btop++ v.1.3.2
2024/02/20 (00:27:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (00:46:03) | ===> btop++ v.1.3.2
2024/02/20 (00:46:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (00:52:00) | ===> btop++ v.1.3.2
2024/02/20 (00:52:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (02:07:01) | ===> btop++ v.1.3.2
2024/02/20 (02:07:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (02:31:23) | ===> btop++ v.1.3.2
2024/02/20 (02:31:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (02:59:31) | ===> btop++ v.1.3.2
2024/02/20 (02:59:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (03:06:17) | ===> btop++ v.1.3.2
2024/02/20 (03:06:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (04:36:24) | ===> btop++ v.1.3.2
2024/02/20 (04:36:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (23:33:49) | ===> btop++ v.1.3.2
2024/02/20 (23:33:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (02:37:42) | ===> btop++ v.1.3.2
2024/02/22 (02:37:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (02:39:01) | ===> btop++ v.1.3.2
2024/02/22 (02:39:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
